"","id","data"
"1",2001,0.083601914
"2",2002,0.062164274
"3",2003,0.069831038
"4",2004,0.071784354
"5",2005,0.091512843
"6",2006,0.059966794
"7",2007,0.057769313
"8",2008,0.048686395
"9",2009,0.077351304
"10",2010,0.049516554
"11",2011,0.04624475
"12",2012,0.097519289
"13",2013,0.051079207
"14",2014,0.1407364
"15",2015,0.081111437
"16",2016,0.049565387
"17",2017,0.069635707
"18",2018,0.056646157
"19",2019,0.056353159
"20",2020,0.056011329
"21",2021,0.050981541
"22",2022,0.062991371
"23",2024,0.049418889
"24",2025,0.052690692
"25",2026,0.047563239
"26",2027,0.050688544
"27",2028,0.052544194
"28",2029,0.047953902
"29",2030,0.055523
"30",2031,0.052251196
"31",2033,0.058990136
"32",2034,0.046537748
"33",2035,0.064898916
"34",2036,0.164469186
"35",2037,0.069049712
"36",2038,0.05146987
"37",2039,0.141615392
"38",2040,0.096054302
"39",2041,0.058794804
"40",2042,0.076911808
"41",2043,0.055230003
"42",2044,0.052636625
"43",2045,0.046548418
"44",2046,0.048130393
"45",2047,0.043336529
"46",2048,0.089837009
"47",2049,0.054458293
"48",2050,0.05
"49",2051,0.044918504
"50",2052,0.039022052
"51",2053,0.066778523
"52",2054,0.05282838
"53",2055,0.060498562
"54",2056,0.059539789
"55",2057,0.046308725
"56",2058,0.055512943
"57",2059,0.05071908
"58",2060,0.063614573
"59",2061,0.093576222
"60",2062,0.068839885
"61",2063,0.048465964
"62",2064,0.086289549
"63",2065,0.062128476
"64",2066,0.048657718
"65",2067,0.052061361
"66",2068,0.065532119
"67",2069,0.067833174
"68",2070,0.052492809
"69",2071,0.074496644
"70",2072,0.048274209
"71",2073,0.050862895
"72",2074,0.076222435
"73",2075,0.056423778
"74",2076,0.07075743
"75",2077,0.047219559
"76",2078,0.090412272
"77",2079,0.055752637
"78",2080,0.042713327
"79",2081,0.042905081
"80",2082,0.059348035
"81",2083,0.056855002
"82",2084,0.057968813
"83",2085,0.06191778
"84",2086,0.078219927
"85",2087,0.058424463
"86",2088,0.062980964
"87",2089,0.05644998
"88",2090,0.057766302
"89",2091,0.050374646
"90",2092,0.057614419
"91",2093,0.057057513
"92",2094,0.056044957
"93",2095,0.062980964
"94",2096,0.05209599
"95",2097,0.053311057
"96",2098,0.07746051
"97",2099,0.045818145
"98",2100,0.062480763
"99",2102,0.068904415
"100",2103,0.054526124
"101",2104,0.058880113
"102",2106,0.069815715
"103",2107,0.055639935
"104",2108,0.059588902
"105",2109,0.058626974
"106",2110,0.053513568
"107",2111,0.055488052
"108",2112,0.053108546
"109",2113,0.050982179
"110",2114,0.060803969
"111",2115,0.052349129
"112",2116,0.085560956
"113",2117,0.069157554
"114",2118,0.069309437
"115",2119,0.055285541
"116",2121,0.068296881
"117",2122,0.066069259
"118",2123,0.064955448
"119",2124,0.048197651
"120",2125,0.058930741
"121",2126,0.070224449
"122",2127,0.081061555
"123",2128,0.067334554
"124",2129,0.066660245
"125",2130,0.061988248
"126",2131,0.055100665
"127",2132,0.051295636
"128",2133,0.044986032
"129",2134,0.057364416
"130",2135,0.047586938
"131",2136,0.050091513
"132",2137,0.064637318
"133",2138,0.048309411
"134",2139,0.055485984
"135",2140,0.050958482
"136",2141,0.055630479
"137",2143,0.049320875
"138",2144,0.057942395
"139",2145,0.063529525
"140",2146,0.057123591
"141",2148,0.063963009
"142",2149,0.066949234
"143",2150,0.073499663
"144",2151,0.069935459
"145",2152,0.06367402
"146",2153,0.048453906
"147",2155,0.055919468
"148",2156,0.069116655
"149",2157,0.053848377
"150",2158,0.071765726
"151",2160,0.049802524
"152",2161,0.051488296
"153",2162,0.054137366
"154",2163,0.050139678
"155",2164,0.062229072
"156",2165,0.081157885
"157",2166,0.050813987
"158",2167,0.093295444
"159",2168,0.050717657
"160",2169,0.050332338
"161",2170,0.065003133
"162",2171,0.057938814
"163",2172,0.057426081
"164",2173,0.064661311
"165",2174,0.057027289
"166",2175,0.058565487
"167",2176,0.061812796
"168",2177,0.070700165
"169",2178,0.056115764
"170",2179,0.122144363
"171",2180,0.055546061
"172",2181,0.081410585
"173",2182,0.056970318
"174",2183,0.064775252
"175",2184,0.056628497
"176",2185,0.065174044
"177",2186,0.062781291
"178",2187,0.06090127
"179",2188,0.065003133
"180",2189,0.071953512
"181",2190,0.081524526
"182",2191,0.08414516
"183",2192,0.081182704
"184",2193,0.064889193
"185",2194,0.070757136
"186",2195,0.063863727
"187",2196,0.066997095
"188",2197,0.056058793
"189",2198,0.068877115
"190",2199,0.056286675
"191",2200,0.060046716
"192",2201,0.059875805
"193",2202,0.083176665
"194",2203,0.060046716
"195",2204,0.064547371
"196",2205,0.076682049
"197",2206,0.061300063
"198",2207,0.058394576
"199",2208,0.057540022
"200",2209,0.085569418
"201",2210,0.062140026
"202",2211,0.064412153
"203",2212,0.069167768
"204",2213,0.054953765
"205",2214,0.091096433
"206",2215,0.087820343
"207",2216,0.078203435
"208",2217,0.080898283
"209",2218,0.072919419
"210",2220,0.067212682
"211",2221,0.102509908
"212",2222,0.079682959
"213",2223,0.065944518
"214",2224,0.058546896
"215",2225,0.063091149
"216",2226,0.057120211
"217",2227,0.061822985
"218",2228,0.072813738
